is_std,ftd_price,min_level,avg_win_stddevsamp,max_win_stddevsamp,min_win_stddevsamp,num_days_ooc_rate,sum_total_ooc_rate,mailbox_wb_rate,mailbox_vault_key_chips_rate,mailbox_vault_coins_rate,spins_completed_rate,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,avg_daily_bonus_amount,max_daily_bonus_amount,min_daily_bonus_amount,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_ruby_rate,wildball_emerald_rate,wildball_specia_diamond_rate,vv_completed_rate
1,9.99,232,0.62,1.11,0.31,0.75,0.75,0.00,0.00,0.25,41,1985832,0.34,0.50,0.11,0,1,0,966666,1350000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,132,2.39,2.39,2.39,0.13,0.13,0.00,0.00,0.00,20,75677,0.62,0.62,0.62,2042,2042,2042,1100000,1100000,1100000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1,24.99,91,1.60,2.76,0.58,1.00,3.50,0.00,0.00,0.00,41,3094387,0.46,0.55,0.32,0,1,0,1500000,2500000,900000,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,89,2.98,3.74,2.23,0.67,2.33,0.00,0.00,0.33,55,1563920,0.47,0.61,0.33,0,0,0,1000000,1200000,800000,0.00,0.00,0.33,0.00,1.00,0.00,0.00,0.00,0.00
0,4.99,94,0.59,1.26,0.00,1.00,0.75,0.00,0.00,0.00,41,914387,0.24,0.51,0.00,0,0,0,1287500,2000000,900000,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,37,1.89,1.89,1.89,0.00,0.00,0.00,0.00,0.00,33,40050,0.51,0.51,0.51,5512,5512,5512,700000,700000,700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,460,3.02,5.30,1.04,0.33,0.67,0.00,0.00,0.33,55,2893811,0.96,1.64,0.51,13,24,5,775000,850000,700000,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00
0,2.99,57,5.38,15.14,1.40,0.17,0.50,0.00,0.00,0.00,27,1306132,3.99,15.53,0.23,129,516,0,1190000,2000000,850000,0.00,0.17,0.17,0.50,0.50,0.00,0.00,0.00,0.00
0,24.99,30,3.00,6.28,1.25,0.33,1.00,0.00,0.00,0.00,55,342599,0.95,2.09,0.29,4017,6318,1059,875000,1200000,550000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,312,0.81,2.28,0.21,1.00,2.40,0.20,0.00,0.20,33,1653746,0.28,0.57,0.08,0,0,0,1780000,4950000,750000,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,42,2.28,4.06,0.22,0.25,0.25,0.00,0.00,0.00,41,524326,0.45,0.70,0.10,16,25,0,766666,900000,700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,119,2.91,5.76,0.99,1.00,2.00,0.00,0.00,0.33,55,586054,0.40,0.60,0.29,0,0,0,900000,1100000,700000,0.00,0.00,0.33,0.00,1.00,0.00,0.00,0.00,0.00
0,4.99,70,1.08,3.43,0.08,0.71,0.71,0.00,0.00,0.14,24,628310,0.29,0.89,0.03,1,2,0,800000,950000,700000,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,219,4.15,4.15,4.15,0.13,0.13,0.00,0.00,0.13,21,6393982,0.83,0.83,0.83,6,6,6,900000,900000,900000,0.00,0.25,0.00,1.00,0.00,0.00,0.00,0.00,0.13
0,2.99,50,3.01,4.84,1.18,0.00,0.00,0.00,0.00,0.00,21,368981,0.83,1.20,0.46,57,77,38,1450000,1550000,1350000,0.00,0.00,0.13,1.00,0.00,0.00,0.00,0.00,0.00
0,9.99,37,1.84,5.17,0.00,0.00,0.00,0.00,0.00,0.00,55,3168118,0.47,1.18,0.00,58,123,18,1416666,2000000,900000,0.00,0.00,0.00,0.00,0.67,0.00,0.33,0.00,0.00
0,4.99,85,5.32,5.32,5.32,0.00,0.00,0.00,0.00,0.00,33,9404892,0.96,0.96,0.96,15,15,15,800000,800000,800000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0,9.99,45,0.94,0.94,0.94,0.13,0.13,0.00,0.00,0.00,21,1376785,0.33,0.33,0.33,109,109,109,1000000,1000000,1000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,29,5.10,9.08,1.13,0.00,0.00,0.00,0.00,0.00,55,845515,1.05,1.77,0.33,97,108,87,1350000,1850000,850000,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00
0,4.99,75,1.74,2.91,0.18,0.13,0.13,0.00,0.00,0.00,21,2492938,0.54,0.79,0.10,7,14,0,950000,1200000,800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
