is_std,ftd_price,max_win_multiplier,avg_total_wins,avg_wager,wildball_silver_rate,wildball_specia_diamond_rate,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,min_win_multiplier,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_gold_rate,wildball_emerald_ruby_rate,vv_completed_rate,,,,
1,4.99,107,0.36,476453.51,0.4,0,1,7.2,23.39,0.27,0.35,0.81,0.04,0,0,0,1,0.2,0.2,0.4,0.2,0.2,,,,
0,4.99,73.27,0.37,337131.13,0.38,0,1,39.13,42.26,1.2,0.77,1.35,0.08,76,232,0,0,0,0,0.46,0.16,0.75,,,,
0,4.99,110,0.37,403991.19,0.54,0,0.14,0.43,55.7,32,0.96,1.34,0.51,153,265,80,0,0.29,0.14,0.38,0.08,0.29,,,,
0,9.99,44,0.33,1298137.34,0.33,0,0.5,0.17,27.68,2.8,0.48,0.8,0.28,17,54,1,0,0,0.17,0.67,0,0.5,,,,
0,4.99,68.67,0.33,126596.37,0.11,0.22,1,12.17,29.33,0.67,0.58,0.88,0.05,7,27,0,0,0,0,0.67,0,0,,,,
1,4.99,92.05,0.35,262389.55,0.38,0.05,1,40.33,60.07,10.1,0.75,0.94,0.59,1,3,0,1,0.33,0,0.48,0.1,0.83,,,,
0,4.99,144.75,0.36,205174.5,0.43,0.13,0.75,29.63,78.2,40.91,0.77,0.9,0.66,18,43,0,0,0.25,0.13,0.35,0.08,0.5,,,,
1,4.99,52,0.34,259166.09,0.33,0.5,1,1.67,19.51,2.4,0.54,0.89,0.24,2,6,0,0,0.33,0.17,0,0.17,0.33,,,,
0,4.99,33.27,0.33,286759.1,0,1,0.67,11,19.52,5,0.57,0.72,0.36,0,1,0,0,0,0,0,0,0,,,,
0,4.99,98.27,0.27,291475.27,0,0,0.33,0.67,42.28,5.68,0.88,1.54,0.24,380,1371,0,0,0,0,1,0,0,,,,
0,4.99,215.45,0.4,573661.36,0.43,0.27,1,534.63,99.32,27,0.85,0.98,0.55,170,435,0,0.75,0,0,0.22,0.09,1,,,,
0,4.99,187,0.37,2056283.33,0.2,0,0.5,0.25,68.86,11.02,1.35,2.7,0.65,397,955,0,0,0.5,0,0.6,0.2,0,,,,
1,4.99,106.56,0.39,238298.05,1,0,0.75,0.25,42.83,11,0.71,0.86,0.62,16,32,0,0,0,0.25,0,0,0,,,,
0,4.99,209,0.34,5677334.75,0.27,0.09,0.38,0.13,94.86,10.23,0.94,1.71,0.41,377,1366,4,0,0.13,0,0.36,0.27,0.13,,,,
0,4.99,47.17,0.5,747856.49,0,0,0,0,25.25,7.67,0.87,1.36,0.57,365,573,200,0,0,0,1,0,0,,,,
1,4.99,119.33,0.45,57300.05,0.18,0.07,1,17.83,63.85,18.55,0.78,0.92,0.7,4,13,0,0,0.17,0.17,0.57,0.18,0.5,,,,
1,4.99,45.24,0.41,800293.12,0.5,0.5,0.67,2.33,31.67,5.08,0.72,0.87,0.45,24,49,1,0,0.33,0,0,0,1,,,,
0,2.99,210,0.44,129276.46,0.39,0,0.13,0.63,62.29,18.75,0.88,1.41,0.61,255,660,121,0.67,0.13,0.13,0.56,0.06,0.38,,,,
0,4.99,106.62,0.39,154875.34,0.29,0.07,0.75,92.63,36.57,10,0.63,0.79,0.52,9,19,0,0,0.13,0.13,0.36,0.29,0.5,,,,
0,4.99,105.42,0.44,805633.55,0,1,0.33,0.5,39.84,5,0.64,0.82,0.33,7,15,0,0,0,0.17,0,0,0.17,,,,
0,4.99,67.8,0.49,1353011.05,0.46,0,0.86,21.57,36.37,1.7,1.02,2.76,0.62,18,42,0,0.33,0.14,0.14,0.31,0.23,0.43,,,,
0,4.99,71.53,0.37,539268.16,0,0,1,1,39.57,23.59,0.73,0.9,0.54,0,1,0,0,0,0,1,0,0,,,,
1,4.99,63.87,0.4,171085.42,0,0,0.5,1,21.18,2.4,0.51,0.7,0.3,13,20,8,0,0,0.25,0.5,0.5,0,,,,
0,24.99,178.3,0.41,3446787.98,0,0,1,30.33,72.09,0.3,0.62,0.95,0.04,6,12,0,0,0,0,0,0,0,,,,
1,4.99,261.67,0.33,123680.78,0.44,0.04,0.2,2,174.54,68.13,0.97,1.06,0.83,194,371,63,0,0.4,0,0.3,0.22,0.6,,,,
0,24.99,82.1,0.36,2035781.98,0.38,0,0.43,0.14,32.1,1,0.68,1.17,0.25,75,166,0,0,0.14,0.14,0.38,0.25,0.43,,,,
0,4.99,150.08,0.39,132382.64,0.11,0.12,1,52.13,62.6,13.37,0.73,0.9,0.48,21,49,0,1,0.25,0,0.61,0.17,0.38,,,,
0,4.99,52.96,0.38,305709.87,0.5,0,0.75,0.38,18.81,1.2,0.45,0.83,0.06,13,36,0,0,0.13,0.13,0.25,0.25,0,,,,
0,4.99,180.28,0.42,471302.94,0.6,0,0.2,1.2,90.89,31.12,0.86,1.1,0.67,39,89,0,0,0,0,0.4,0,0.2,,,,
1,4.99,150,0.37,307273.02,0.2,0,0.67,2.33,66.66,24.52,0.82,0.89,0.68,32,66,5,0,0.17,0,0.8,0,0.5,,,,
0,9.99,51.33,0.33,390658.22,1,0,0.33,1.33,38.47,25.6,0.66,0.88,0.44,0,1,0,0,0,0,0,0,0,,,,
0,9.99,302.5,0.31,357556.81,0.5,0,0.5,97,151.63,43.33,0.72,0.86,0.57,0,1,0,0,0.13,0.13,0,0.5,0.13,,,,
1,4.99,119.07,0.31,379215.96,0,0,1,21.67,46.55,2.4,0.52,0.87,0.21,1,3,0,0,0,0,0,0,0,,,,
0,4.99,266.43,0.39,494698.34,0.8,0,0,0,120.31,9.5,0.71,1.07,0.23,214,438,25,0,0.33,0,0.2,0,0.33,,,,
0,9.99,63.34,0.36,814222.44,0.25,0.25,0.5,0.13,33.52,3.13,0.66,0.91,0.38,52,239,1,0,0,0,0.5,0,0,,,,
1,4.99,118.93,0.34,511660.08,0.6,0,1,23.67,71.4,40.13,0.74,0.86,0.61,22,63,0,0,0.67,0,0.4,0,0.67,,,,
0,9.99,121.7,0.34,259389.37,0.75,0,0.13,0.13,55.62,12.5,0.75,1,0.42,188,292,57,0,0.25,0,0.25,0,0.25,,,,
0,4.99,278.25,0.28,102225.02,0.54,0.08,0.71,3.71,141.92,27.2,0.85,1.03,0.67,226,752,1,0.5,0.29,0.14,0.31,0.08,0.43,,,,
1,9.99,252.8,0.19,3435630.88,0.5,0.1,0.33,0.33,138.33,37.2,1.07,1.13,0.97,291,463,36,0,0,0,0.2,0.2,0,,,,
0,4.99,118.05,0.35,237866.8,0.2,0,0.17,0.17,65.5,14.5,0.83,1.09,0.59,317,351,275,0,0.17,0,0.8,0,0,,,,
0,4.99,48.93,0.36,140137.28,0,0,0.5,0.5,38.52,25.83,0.68,0.81,0.43,19,51,0,0,0,0,0.6,0.4,0,,,,
0,4.99,100.9,0.57,856423.92,0.5,0,0.2,1.2,47.78,0.4,1.94,4.8,0.06,293,441,46,0,0,0,0.5,0,0,,,,
0,4.99,105.33,0.33,551968.52,0,0,0.29,1,54.71,22.67,0.82,1.19,0.38,35,81,0,0,0,0.14,1,0,0,,,,
0,4.99,170.57,0.31,233297.15,0.4,0,0.17,1,73.96,6.2,0.82,2,0.38,193,309,98,0,0.17,0.17,0.4,0.2,0,,,,
1,2.99,122.73,0.32,282535.79,0,0,1,1.33,44.66,0.4,0.52,0.76,0.07,0,0,0,0,0,0,1,0,0,,,,
0,4.99,115,0.33,4035848.42,0.57,0,0.13,0.13,32.85,3.1,0.9,2.66,0.27,294,600,0,0,0.13,0.13,0.43,0,0,,,,
1,24.99,113.4,0.5,1235824.48,0,0,0.67,22,56.13,25,0.95,1.24,0.79,24,49,0,0,0,0,0,0,0,,,,
1,9.99,121.33,0.29,1193356.81,0.54,0,1,38,62.54,7.3,0.84,1.23,0.6,345,690,0,0,0.33,0,0.31,0.15,0,,,,
1,9.99,61.75,0.35,594221.41,0.2,0,0.5,8.67,52.02,44.33,0.73,0.83,0.62,46,139,0,1,0.33,0,0.5,0.3,0.5,,,,
0,24.99,197.37,0.35,2789588.67,0.45,0.05,0,0,88.79,30.73,1.14,2.92,0.56,460,589,278,0,0,0,0.32,0.18,1,,,,
1,4.99,146,0.24,437186.35,0.23,0,1,28,80.92,30.5,0.73,0.87,0.49,13,29,0,1,0.67,0,0.69,0.08,0.67,,,,
0,4.99,96.58,0.35,447883.96,0.29,0,0,0,43.21,1.13,1.31,3.58,0.19,515,870,148,0,0.13,0.13,0.57,0.14,0.38,,,,
0,9.99,384.51,0.33,282942.23,0.49,0.05,0.13,6.88,187.35,68.67,0.96,1.15,0.82,1418,2524,656,0.25,0,0,0.34,0.12,0.75,,,,
0,4.99,72.18,0.32,275611.57,0,0,0.29,4.71,36.96,7.2,0.78,1.16,0.38,57,165,0,0,0,0,0,0,0,,,,
0,4.99,257.1,0.38,181395.65,0.25,0.12,0.88,78.88,107.86,18,0.82,0.95,0.59,27,84,0,0,0.25,0,0.47,0.15,0.63,,,,
0,24.99,30.07,0.4,1404706.58,0.5,0,0.4,0.6,20.94,3,0.67,0.79,0.44,1026,2120,1,0,0,0,0.5,0,0.2,,,,
0,9.99,58.75,0.38,3821188.91,0.29,0.14,0.67,8.67,31.88,5,0.76,1.08,0.44,185,370,0,0,0.33,0,0.43,0.14,0.33,,,,
0,4.99,337,0.36,63746.43,0,0,0.13,0.13,120.69,19.47,1.03,1.87,0.73,515,881,224,0,0.13,0,0,0,0,,,,
0,4.99,32.39,0.34,579987.56,0,0,0.67,1,24.19,16,0.54,0.67,0.4,38,77,0,0,0,0,0,1,0,,,,
0,9.99,137.67,0.28,222364.57,0.57,0,0.14,5,58.93,0.13,0.73,1.71,0.01,717,1772,28,0,0,0.14,0.36,0.07,0,,,,
0,9.99,57.1,0.38,1214197.25,0,0,0.25,0.25,34.11,11.9,0.66,1.02,0.47,28,84,0,0,0,0,0,0,0,,,,
1,4.99,72.73,0.36,300347.25,0,0,0.75,15,45.37,21,0.72,0.8,0.67,8,17,0,0,0,0.25,1,0,0.25,,,,
0,9.99,190.47,0.37,514015.24,0.33,0,0.67,0.33,161.73,133,0.98,1.1,0.87,269,537,2,0,0.67,0.33,0.33,0.33,0,,,,
1,4.99,64.3,0.52,197889.68,0,0,1,1,44.52,19.47,0.79,0.92,0.71,23,50,0,0,0.33,0,1,0,0,,,,
1,24.99,87.33,0.36,474973.47,0.6,0,0,0,66.52,51.73,1.2,1.78,0.76,1292,2032,484,0,0,0,0.2,0.2,0,,,,
0,4.99,59.75,0.42,473377.98,0.67,0,0.5,34,28.48,6.83,0.72,0.95,0.58,30,84,0,0,0,0,0.33,0,0.25,,,,
0,4.99,25,0.48,404723.65,1,0,0,0,16,10,0.62,0.63,0.61,38,84,7,0,0,0,0,0,0.33,,,,
0,4.99,193.18,0.41,282804.52,0.36,0.07,0,0,128.58,66.67,0.93,1.09,0.75,408,897,149,0.83,0,0,0.44,0.13,1,,,,
1,2.99,382.13,0.34,192054.92,0.38,0.05,0.25,0.25,225.77,66.8,0.92,1,0.86,204,360,6,0.5,0,0,0.44,0.13,1,,,,
0,9.99,104,0.35,105732.21,0.56,0.04,0.25,19,94.5,72,0.97,1.36,0.77,451,750,320,0,0.25,0,0.33,0.07,0.5,,,,
1,4.99,99.3,0.32,195168.54,0.13,0.75,0,0,43.11,14.87,0.63,0.83,0.44,118,365,10,0,0,0,0.13,0,0.25,,,,
0,9.99,177.5,0.34,790985.44,0.24,0.19,0.88,1.38,71.83,13.3,0.84,1.25,0.58,18,52,0,0,0.5,0.13,0.52,0.05,0.5,,,,
1,4.99,39.6,0.33,345954.92,0,0.5,1,1,16.43,0.47,0.53,0.84,0.05,0,0,0,0,0.14,0.14,0.5,0,0.29,,,,
0,4.99,100,0.28,261758.34,0.67,0,1,1.67,24.87,1.07,0.43,0.87,0.09,0,0,0,0,0,0,0.33,0,0.17,,,,
0,4.99,36.09,0.33,1696922.26,0,0,0,0,17.76,1.2,0.61,0.95,0.2,32,77,6,0,0,0,1,0,0,,,,
1,4.99,57.82,0.43,1472148.17,0.4,0.6,1,0.33,37.71,5.3,0.7,0.97,0.32,30,89,0,0,0,0,0,0,0.67,,,,
1,9.99,125.82,0.38,457587.96,0.67,0.17,1,1.33,59.94,18,0.78,0.84,0.73,17,35,1,0,0,0,0.17,0,0.33,,,,
0,4.99,733.53,0.35,117087.57,0.45,0,1,59.13,130.67,5,0.62,1.76,0.18,67,315,0,0,0,0.13,0.45,0.09,0.38,,,,
0,4.99,37.2,0.33,435408.01,0.33,0,1,12.71,13.63,1.5,0.41,0.67,0.17,2,5,0,0,0.14,0.14,0.33,0.33,0.14,,,,
0,9.99,43.76,0.34,185967.85,0,0,0.33,3.33,26.42,10.5,0.61,0.71,0.43,569,1390,157,0,0.33,0.33,1,0,0,,,,
1,24.99,46.53,0.36,446373.65,0.5,0,0,0,27.52,12,0.65,1.07,0.38,1101,1255,770,0,0,0,0,0.5,0,,,,
0,4.99,33.5,0.3,205102.11,0.33,0,0.5,3,16.95,0.4,0.26,0.5,0.03,0,0,0,0,0,0,0.67,0,0,,,,
1,4.99,100,0.41,617114.46,0.37,0.03,0.38,0.38,50.28,26.3,1.03,1.91,0.77,262,549,0,0,0,0,0.53,0.07,0.63,,,,
1,9.99,134,0.38,770987.45,0.13,0,0,0,56.46,17.8,0.95,1.42,0.68,160,287,43,0,0.14,0.14,0.63,0.25,0.14,,,,
0,24.99,122.77,0.37,1019862.05,0,0,0.25,3.38,50.45,1,0.73,1.17,0.08,1170,8252,0,0,0,0,0,0,0,,,,
1,9.99,160.16,0.38,516812.18,0.5,0,0,0,61.04,13.33,0.82,1.35,0.49,353,561,202,0,0.29,0.14,0.5,0,0.57,,,,
1,4.99,81.6,0.38,775046.58,0,0,0.67,1,41.79,1.98,0.53,0.84,0.23,0,0,0,0,0,0,1,0,0,,,,
1,24.99,259.52,0.43,2667640.58,0.53,0,0.25,0.25,112.92,20.45,0.78,0.99,0.53,101,145,30,0,0.25,0,0.47,0,0.75,,,,
0,9.99,214,0.3,927588.23,0.39,0,0,0,103.16,36,0.92,1.14,0.64,271,447,83,0.33,0,0,0.47,0.14,0.75,,,,
