is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,24.99,1,30.33,72.09,178.3,0.3,0.41,3446787.98,0.62,0.95,0.04,6,12,0,0,0,0,0,0,0,0,0
1,4.99,0.2,2,174.54,261.67,68.13,0.33,123680.78,0.97,1.06,0.83,194,371,63,0,0.4,0,0.44,0.3,0.22,0.04,0.6
0,24.99,0.43,0.14,32.1,82.1,1,0.36,2035781.98,0.68,1.17,0.25,75,166,0,0,0.14,0.14,0.38,0.38,0.25,0,0.43
0,4.99,1,52.13,62.6,150.08,13.37,0.39,132382.64,0.73,0.9,0.48,21,49,0,1,0.25,0,0.11,0.61,0.17,0.12,0.38
0,4.99,0.75,0.38,18.81,52.96,1.2,0.38,305709.87,0.45,0.83,0.06,13,36,0,0,0.13,0.13,0.5,0.25,0.25,0,0
0,4.99,0.2,1.2,90.89,180.28,31.12,0.42,471302.94,0.86,1.1,0.67,39,89,0,0,0,0,0.6,0.4,0,0,0.2
1,4.99,0.67,2.33,66.66,150,24.52,0.37,307273.02,0.82,0.89,0.68,32,66,5,0,0.17,0,0.2,0.8,0,0,0.5
0,9.99,0.33,1.33,38.47,51.33,25.6,0.33,390658.22,0.66,0.88,0.44,0,1,0,0,0,0,1,0,0,0,0
0,9.99,0.5,97,151.63,302.5,43.33,0.31,357556.81,0.72,0.86,0.57,0,1,0,0,0.13,0.13,0.5,0,0.5,0,0.13
1,4.99,1,21.67,46.55,119.07,2.4,0.31,379215.96,0.52,0.87,0.21,1,3,0,0,0,0,0,0,0,0,0
0,4.99,0,0,120.31,266.43,9.5,0.39,494698.34,0.71,1.07,0.23,214,438,25,0,0.33,0,0.8,0.2,0,0,0.33
